tx_id,customer_id,item_id,qty,amount,dispatch_margin_hours,is_layaway,signature,timestamp
TX-1782527804896-22,CUST-7120,C992,9,1080.00,2,false,781b6f08d17f2ef8,2026-06-27T02:36:44.896440256+00:00
TX-1782527804896-23,CUST-2849,B015,9,4056.75,24,false,d6c7e7a09b1675cc,2026-06-27T02:36:44.896443576+00:00
TX-1782527804896-24,CUST-6218,A002,4,7402.00,24,false,ac0cebc93795da2a,2026-06-27T02:36:44.896462356+00:00
TX-1782527804896-25,CUST-0064,B015,2,901.50,24,false,6ef14d2c0003822,2026-06-27T02:36:44.896465926+00:00
TX-1782527804896-26,CUST-6424,A001,3,7350.00,0,false,12fad6d13e28a8f0,2026-06-27T02:36:44.896469246+00:00
TX-1782527804896-27,CUST-1778,A001,9,22050.00,2,true,bf514a57fe467252,2026-06-27T02:36:44.896472556+00:00
TX-1782527804896-28,CUST-9606,A002,7,12953.50,24,false,fe40c3083d2b2a2d,2026-06-27T02:36:44.896476096+00:00
TX-1782527804896-29,CUST-2413,A001,5,12250.00,2,false,9a8b4c0048fbb6aa,2026-06-27T02:36:44.896481766+00:00
TX-1782527804896-30,CUST-7115,B015,1,450.75,2,false,2e5204929e4fbfe,2026-06-27T02:36:44.896512056+00:00
TX-1782527804896-31,CUST-1662,A002,3,5551.50,48,false,95e0528649904201,2026-06-27T02:36:44.896518346+00:00
TX-1782527804896-32,CUST-9643,B015,6,2704.50,48,false,ca70476fe7ea9a9d,2026-06-27T02:36:44.896522086+00:00
TX-1782527804896-33,CUST-0370,A001,1,2450.00,2,false,9991dd5e89a27e8c,2026-06-27T02:36:44.896525576+00:00
TX-1782527804896-34,CUST-9964,A001,4,9800.00,2,false,a2f1cf1fa66cce5d,2026-06-27T02:36:44.896529046+00:00
TX-1782527804896-35,CUST-9617,B015,5,2253.75,2,false,d24819b859bb24a9,2026-06-27T02:36:44.896532386+00:00
TX-1782527804896-36,CUST-4427,A001,5,12250.00,24,false,c4958be07887a90f,2026-06-27T02:36:44.896551196+00:00
TX-1782527804896-37,CUST-5846,A002,6,11103.00,2,false,84249332fddebb2b,2026-06-27T02:36:44.896554816+00:00
TX-1782527804896-38,CUST-4823,C992,5,600.00,2,false,75fd6baa62390ae,2026-06-27T02:36:44.896558336+00:00
TX-1782527804896-39,CUST-6662,A001,6,14700.00,0,true,349dd2d68353efcf,2026-06-27T02:36:44.896561705+00:00
TX-1782527804896-40,CUST-7363,A002,7,12953.50,2,false,7366e1ac787664a4,2026-06-27T02:36:44.896565236+00:00
TX-1782527804896-41,CUST-3160,B015,5,2253.75,24,false,37b96c5412c57563,2026-06-27T02:36:44.896584065+00:00
TX-1782527804896-42,CUST-1693,A001,8,19600.00,24,false,64c69ba787dcd97b,2026-06-27T02:36:44.896587776+00:00
TX-1782527804896-43,CUST-0300,A001,1,2450.00,2,false,fc4e41ae0ea2c239,2026-06-27T02:36:44.896591365+00:00
TX-1782527804896-44,CUST-2833,C992,8,960.00,0,false,894a5826748ebaba,2026-06-27T02:36:44.896613916+00:00
TX-1782527804896-45,CUST-0982,A001,2,4900.00,2,true,f3c5420563257ddc,2026-06-27T02:36:44.896617256+00:00
TX-1782527804896-46,CUST-5686,A002,8,14804.00,2,false,8bdbeed762b75514,2026-06-27T02:36:44.896636145+00:00
TX-1782527804896-47,CUST-6243,A001,1,2450.00,48,false,37376d4103114fd2,2026-06-27T02:36:44.896639645+00:00
TX-1782527804896-48,CUST-1343,A002,1,1850.50,24,false,b56c2a0ba3b6dc38,2026-06-27T02:36:44.896642956+00:00
TX-1782527804896-49,CUST-9006,B015,7,3155.25,48,false,6f382b543470e0f5,2026-06-27T02:36:44.896646316+00:00
TX-1782527804896-50,CUST-1188,C992,2,240.00,2,true,939ee1d2c8856828,2026-06-27T02:36:44.896649636+00:00
TX-1782527804896-51,CUST-3269,A002,8,14804.00,48,false,fb3735936af3d339,2026-06-27T02:36:44.896652925+00:00
TX-1782527804896-52,CUST-3732,A002,2,3701.00,24,false,a578f031e95454a4,2026-06-27T02:36:44.896671965+00:00
TX-1782527804896-53,CUST-0432,C992,6,720.00,48,false,564c7cf49777cd65,2026-06-27T02:36:44.896675485+00:00
TX-1782527804896-54,CUST-4325,B015,9,4056.75,24,false,6e7c29ad3d88ef7b,2026-06-27T02:36:44.896678885+00:00
TX-1782527804896-55,CUST-0512,A001,1,2450.00,48,false,20afb9455711bd55,2026-06-27T02:36:44.896682276+00:00
TX-1782527804896-56,CUST-7173,B015,7,3155.25,2,false,3be82dd20c3b1036,2026-06-27T02:36:44.896685696+00:00
TX-1782527804896-57,CUST-1406,C992,6,720.00,24,false,a4a5f5d22ad9da9d,2026-06-27T02:36:44.896704405+00:00
TX-1782527804896-58,CUST-3126,C992,8,960.00,2,false,fba94b037c524b56,2026-06-27T02:36:44.896707796+00:00
TX-1782527804896-59,CUST-2495,B015,7,3155.25,0,false,b916685fcd5d44e0,2026-06-27T02:36:44.896711176+00:00
TX-1782527804896-60,CUST-2198,B015,1,450.75,0,false,5fb421bf517570e0,2026-06-27T02:36:44.896714625+00:00
TX-1782527804896-61,CUST-2751,A002,8,14804.00,48,false,4fb1f3c01061c0a2,2026-06-27T02:36:44.896719485+00:00
TX-1782527804896-62,CUST-5131,C992,1,120.00,24,false,362dd2f25ca2a9a9,2026-06-27T02:36:44.896747565+00:00
TX-1782527804896-63,CUST-5209,B015,6,2704.50,0,false,2c4e3199bce827c7,2026-06-27T02:36:44.896754155+00:00
TX-1782527804896-64,CUST-8137,A002,5,9252.50,24,false,89a63acb9094999a,2026-06-27T02:36:44.896760085+00:00
TX-1782527804896-65,CUST-1803,A001,9,22050.00,2,false,8221f03007fe72bb,2026-06-27T02:36:44.896766085+00:00
TX-1782527804896-66,CUST-2357,A002,4,7402.00,24,true,7aeca60d2907cd8a,2026-06-27T02:36:44.896772205+00:00
TX-1782527804896-67,CUST-0036,A001,3,7350.00,48,false,4c17dab7ff1bac32,2026-06-27T02:36:44.896809925+00:00
TX-1782527804896-68,CUST-6145,B015,2,901.50,0,false,7eee48f8dbb892be,2026-06-27T02:36:44.896816795+00:00
TX-1782527804896-69,CUST-0613,A001,9,22050.00,24,true,ee7f7ff3ca548c3a,2026-06-27T02:36:44.896822605+00:00
TX-1782527804896-70,CUST-3696,A002,7,12953.50,24,false,87c6c536f55891b7,2026-06-27T02:36:44.896843655+00:00
TX-1782527804896-71,CUST-7085,B015,3,1352.25,0,false,f452a773aee16d6a,2026-06-27T02:36:44.896862975+00:00
TX-1782527804896-72,CUST-8103,A001,8,19600.00,0,false,336bd446cad87d6e,2026-06-27T02:36:44.896866555+00:00
TX-1782527804896-73,CUST-0429,A001,5,12250.00,0,false,8e45d57440788bf6,2026-06-27T02:36:44.896870115+00:00
TX-1782527804896-74,CUST-5697,A001,3,7350.00,0,false,60230e39d020665,2026-06-27T02:36:44.896873515+00:00
TX-1782527804896-75,CUST-2262,A001,4,9800.00,2,false,29902479dacf6f13,2026-06-27T02:36:44.896902434+00:00
TX-1782527804896-76,CUST-8668,B015,1,450.75,24,false,225a0d38e8edc527,2026-06-27T02:36:44.896906063+00:00
TX-1782527804896-77,CUST-8740,B015,2,901.50,24,false,f91f84cfc1e778bf,2026-06-27T02:36:44.896949454+00:00
TX-1782527804896-78,CUST-7911,A001,8,19600.00,0,false,6213b1442ff22e1e,2026-06-27T02:36:44.896953323+00:00
TX-1782527804896-79,CUST-1385,B015,7,3155.25,48,false,e03820e92d6b45e3,2026-06-27T02:36:44.896959203+00:00
TX-1782527804896-80,CUST-2071,A002,8,14804.00,24,false,e48f9a7c1f5db2d8,2026-06-27T02:36:44.896988774+00:00
TX-1782527804896-81,CUST-1742,A002,7,12953.50,24,false,80b2c0be7d1f3654,2026-06-27T02:36:44.896993294+00:00
TX-1782527804896-82,CUST-5954,B015,4,1803.00,48,false,f8e3eacbdfdf7dfb,2026-06-27T02:36:44.896996734+00:00
TX-1782527804896-83,CUST-1553,A002,5,9252.50,2,false,2bf0757e2e2ecce6,2026-06-27T02:36:44.897000974+00:00
TX-1782527804897-84,CUST-3011,C992,1,120.00,24,false,c0bd6b3158a75213,2026-06-27T02:36:44.897006694+00:00
TX-1782527804897-85,CUST-6859,B015,3,1352.25,24,false,93294576014fb324,2026-06-27T02:36:44.897027043+00:00
TX-1782527804897-86,CUST-1896,A002,7,12953.50,24,false,143f0b87e9bf7350,2026-06-27T02:36:44.897032103+00:00
TX-1782527804897-87,CUST-6652,A002,7,12953.50,24,false,8b697e8d9f594df5,2026-06-27T02:36:44.897037233+00:00
TX-1782527804897-88,CUST-7047,B015,6,2704.50,2,true,26bed761c5969ea5,2026-06-27T02:36:44.897042283+00:00
TX-1782527804897-89,CUST-3837,B015,5,2253.75,24,false,3afb4344e917d3b,2026-06-27T02:36:44.897064263+00:00
TX-1782527804897-90,CUST-4742,C992,3,360.00,2,true,e88b881ee4ebe018,2026-06-27T02:36:44.897069633+00:00
TX-1782527804897-91,CUST-3591,A001,1,2450.00,48,false,584d3e74674eeb2,2026-06-27T02:36:44.897075023+00:00
TX-1782527804897-92,CUST-5136,B015,7,3155.25,0,false,34801694381ecd8,2026-06-27T02:36:44.897080913+00:00
TX-1782527804897-93,CUST-8705,A001,8,19600.00,0,true,cef615df899300b8,2026-06-27T02:36:44.897086983+00:00
TX-1782527804897-94,CUST-6127,A001,8,19600.00,24,true,1dd1e13ab1bc80e7,2026-06-27T02:36:44.897109603+00:00
TX-1782527804897-95,CUST-2017,A001,7,17150.00,2,false,59d89473bbd9c2fc,2026-06-27T02:36:44.897115963+00:00
TX-1782527804897-96,CUST-4553,C992,2,240.00,48,false,b3f8f30503917218,2026-06-27T02:36:44.897121933+00:00
TX-1782527804897-97,CUST-6864,B015,6,2704.50,48,false,a4570f515b2f1522,2026-06-27T02:36:44.897127783+00:00
TX-1782527804897-98,CUST-9396,A001,4,9800.00,2,false,927781cfbce4b9c9,2026-06-27T02:36:44.897133883+00:00
TX-1782527804897-99,CUST-9960,A001,1,2450.00,2,false,1251603db5b1eae9,2026-06-27T02:36:44.897156283+00:00
